Conference,Year,Title,Authors,PDF Link,File name,Code,
ASIA CCS,2016,Recipient Revocable Identity-Based Broadcast Encryption: How to Revoke Some Recipients in IBBE without Knowledge of the Plaintext,Willy Susilo and  Rongmao Chen and  Fuchun Guo and  Guomin Yang and  Yi Mu and  Yang-Wai Chow,https://dl.acm.org/doi/pdf/10.1145/2897845.2897848,Willy_Susilo_2016.pdf,,
ASIA CCS,2016,Dealerless Corporate Key Generation for Identity-Based Encryption Schemes,Zhen Liu and  Duncan S. Wong and  Jack Poon,https://dl.acm.org/doi/pdf/10.1145/2897845.2897849,Zhen_Liu_2016.pdf,,
ASIA CCS,2016,Anonymous Identity-Based Broadcast Encryption with Constant Decryption Complexity and Strong Security,Peng Xu and  Jingnan Li and  Wei Wang and  Hai Jin,https://dl.acm.org/doi/pdf/10.1145/2897845.2897853,Peng_Xu_2016_1.pdf,,
ASIA CCS,2016,Password-Controlled Encryption with Accountable Break-Glass Access,Tao Zhang and  Sherman S.M. Chow and  Jinyuan Sun,https://dl.acm.org/doi/pdf/10.1145/2897845.2897869,Tao_Zhang_2016.pdf,,
ASIA CCS,2016,Anonymous Identity-Based Broadcast Encryption with Chosen-Ciphertext Security,Kai He and  Jian Weng and  Jia-Nan Liu and  Joseph K. Liu and  Wei Liu and  Robert H. Deng,https://dl.acm.org/doi/pdf/10.1145/2897845.2897879,Kai_He_2016.pdf,,
ASIA CCS,2016,SecHOG: Privacy-Preserving Outsourcing Computation of Histogram of Oriented Gradients in the Cloud,Qian Wang and  Jingjun Wang and  Shengshan Hu and  Qin Zou and  Kui Ren,https://dl.acm.org/doi/pdf/10.1145/2897845.2897861,Qian_Wang_2016.pdf,,
ASIA CCS,2016,Practical and Efficient Attribute-Based Encryption with Constant-Size Ciphertexts in Outsourced Verifiable Computation,Kai Zhang and  Junqing Gong and  Shaohua Tang and  Jie Chen and  Xiangxue Li and  Haifeng Qian and  Zhenfu Cao,https://dl.acm.org/doi/pdf/10.1145/2897845.2897858,Kai_Zhang_2016.pdf,,
ASIA CCS,2016,Efficient Secure Outsourcing of Large-scale Quadratic Programs,Sergio Salinas and  Changqing Luo and  Weixian Liao and  Pan Li,https://dl.acm.org/doi/pdf/10.1145/2897845.2897862,Sergio_Salinas_2016.pdf,,
ASIA CCS,2016,Verifiable Outsourcing Algorithms for Modular Exponentiations with Improved Checkability,Yanli Ren and  Ning Ding and  Xinpeng Zhang and  Haining Lu and  Dawu Gu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897881,Yanli_Ren_2016.pdf,,
ASIA CCS,2016,NFPS: Adding Undetectable Secure Deletion to Flash Translation Layer,Shijie Jia and  Luning Xia and  Bo Chen and  Peng Liu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897882,Shijie_Jia_2016.pdf,,
ASIA CCS,2016,Preventing Page Faults from Telling Your Secrets,Shweta Shinde and  Zheng Leong Chua and  Viswesh Narayanan and  Prateek Saxena,https://dl.acm.org/doi/pdf/10.1145/2897845.2897885,Shweta_Shinde_2016.pdf,,
ASIA CCS,2016,Identifying and Utilizing Dependencies Across Cloud Security Services,Ahmed Taha and  Patrick Metzler and  Ruben Trapero and  Jesus Luna and  Neeraj Suri,https://dl.acm.org/doi/pdf/10.1145/2897845.2897911,Ahmed_Taha_2016.pdf,,
ASIA CCS,2016,Hardening OpenStack Cloud Platforms against Compute Node Compromises,Wai Kit Sze and  Abhinav Srivastava and  R. Sekar,https://dl.acm.org/doi/pdf/10.1145/2897845.2897851,Wai Kit_Sze_2016.pdf,,
ASIA CCS,2016,Cross Processor Cache Attacks,Gorka Irazoqui and  Thomas Eisenbarth and  Berk Sunar,https://dl.acm.org/doi/pdf/10.1145/2897845.2897867,Gorka_Irazoqui_2016.pdf,,
ASIA CCS,2016,Mystique: Evolving Android Malware for Auditing Anti-Malware Tools,Guozhu Meng and  Yinxing Xue and  Chandramohan Mahinthan and  Annamalai Narayanan and  Yang Liu and  Jie Zhang and  Tieming Chen,https://dl.acm.org/doi/pdf/10.1145/2897845.2897856,Guozhu_Meng_2016.pdf,,
ASIA CCS,2016,StormDroid: A Streaminglized Machine Learning-Based System for Detecting Android Malware,Sen Chen and  Minhui Xue and  Zhushou Tang and  Lihua Xu and  Haojin Zhu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897860,Sen_Chen_2016.pdf,,
ASIA CCS,2016,FLEX: A Flexible Code Authentication Framework for Delegating Mobile App Customization,Gabriele Costa and  Paolo Gasti and  Alessio Merlo and  Shunt-Hsi Yu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897887,Gabriele_Costa_2016.pdf,,
ASIA CCS,2016,DroidDisintegrator: Intra-Application Information Flow Control in Android Apps,Eran Tromer and  Roei Schuster,https://dl.acm.org/doi/pdf/10.1145/2897845.2897888,Eran_Tromer_2016.pdf,,
ASIA CCS,2016,Why MAC Address Randomization is not Enough: An Analysis of Wi-Fi Network Discovery Mechanisms,Mathy Vanhoef and  CÃ©lestin Matte and  Mathieu Cunche and  Leonardo S. Cardoso and  Frank Piessens,https://dl.acm.org/doi/pdf/10.1145/2897845.2897883,Mathy_Vanhoef_2016.pdf,,
ASIA CCS,2016,Vehicle Self-Surveillance: Sensor-Enabled Automatic Driver Recognition,Ian D. Markwood and  Yao Liu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897917,Ian D._Markwood_2016.pdf,,
ASIA CCS,2016,Automated Dynamic Firmware Analysis at Scale: A Case Study on Embedded Web Interfaces,Andrei Costin and  Apostolis Zarras and  AurÃ©lien Francillon,https://dl.acm.org/doi/pdf/10.1145/2897845.2897900,Andrei_Costin_2016.pdf,,
ASIA CCS,2016,Distributed Detection of Single-Stage Multipoint Cyber Attacks in a Water Treatment Plant,Sridhar Adepu and  Aditya Mathur,https://dl.acm.org/doi/pdf/10.1145/2897845.2897855,Sridhar_Adepu_2016.pdf,,
ASIA CCS,2016,Smart Locks: Lessons for Securing Commodity Internet of Things Devices,Grant Ho and  Derek Leung and  Pratyush Mishra and  Ashkan Hosseini and  Dawn Song and  David Wagner,https://dl.acm.org/doi/pdf/10.1145/2897845.2897886,Grant_Ho_2016.pdf,,
ASIA CCS,2016,Binary Analysis For Autonomus Hacking,Giovanni Vigna,https://dl.acm.org/doi/pdf/10.1145/2897845.2901788,Giovanni_Vigna_2016.pdf,,
ASIA CCS,2016,The Request for Better Measurement: A Comparative Evaluation of Two-Factor Authentication Schemes,Ding Wang and  Qianchen Gu and  Haibo Cheng and  Ping Wang,https://dl.acm.org/doi/pdf/10.1145/2897845.2897916,Ding_Wang_2016.pdf,,
ASIA CCS,2016,Homomorphic Linear Authentication Schemes from (Îµ)-Authentication Codes,Shuai Han and  Shengli Liu and  Fangguo Zhang and  Kefei Chen,https://dl.acm.org/doi/pdf/10.1145/2897845.2897859,Shuai_Han_2016.pdf,,
ASIA CCS,2016,Forgery-Resistant Touch-based Authentication on Mobile Devices,Neil Zhenqiang Gong and  Mathias Payer and  Reza Moazzezi and  Mario Frank,https://dl.acm.org/doi/pdf/10.1145/2897845.2897908,Neil Zhenqiang_Gong_2016.pdf,,
ASIA CCS,2016,Practical (Signatures with Efficient Protocols) from Simple Assumptions,"BenoÃ®t Libert and   Fabrice Mouhartem and    Moti Yung""",https://dl.acm.org/doi/pdf/10.1145/2897845.2897898,Benoat_Libert_2016.pdf,,
ASIA CCS,2016,Bilateral-secure Signature by Key Evolving,Tao Xiang and  Xiaoguo Li and  Fei Chen and  Yi Mu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897864,Tao_Xiang_2016.pdf,,
ASIA CCS,2016,Secure Dynamic SSE via Access Indistinguishable Storage,Tianhao Wang and  Yunlei Zhao,https://dl.acm.org/doi/pdf/10.1145/2897845.2897884,Tianhao_Wang_2016.pdf,,
ASIA CCS,2016,Building an Encrypted   Distributed  and Searchable Key-value Store,Xingliang Yuan and  Xinyu Wang and  Cong Wang and  Chen Qian and  Jianxiong Lin,https://dl.acm.org/doi/pdf/10.1145/2897845.2897852,Xingliang_Yuan_2016.pdf,,
ASIA CCS,2016,Anonymous Role-Based Access Control on E-Health Records,Xingguang Zhou and  Jianwei Liu and  Weiran Liu and  Qianhong Wu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897871,Xingguang_Zhou_2016.pdf,,
ASIA CCS,2016,Gait-Based Wi-Fi Signatures for Privacy-Preserving,Yan Li and  Ting Zhu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897909,Yan_Li_2016.pdf,,
ASIA CCS,2016,Anonymous Identification for Ad Hoc Group,Xingye Lu and  Man Ho Au,https://dl.acm.org/doi/pdf/10.1145/2897845.2897903,Xingye_Lu_2016.pdf,,
ASIA CCS,2016,Efficient Authenticated Multi-Pattern Matching,Zhe Zhou and  Tao Zhang and  Sherman S.M. Chow and  Yupeng Zhang and  Kehuan Zhang,https://dl.acm.org/doi/pdf/10.1145/2897845.2897906,Zhe_Zhou_2016.pdf,,
ASIA CCS,2016,Efficient Verifiable Computation of Linear and Quadratic Functions over Encrypted Data,Ngoc Hieu Tran and  HweeHwa Pang and  Robert H. Deng,https://dl.acm.org/doi/pdf/10.1145/2897845.2897892,NgocHieu_Tran_2016.pdf,,
ASIA CCS,2016,Efficient Privacy-Preserving Matrix Factorization via Fully Homomorphic Encryption: Extended Abstract,Sungwook Kim and  Jinsu Kim and  Dongyoung Koo and  Yuna Kim and  Hyunsoo Yoon and  Junbum Shin,https://dl.acm.org/doi/pdf/10.1145/2897845.2897875,Sungwook_Kim_2016.pdf,,
ASIA CCS,2016,Privacy Breach by Exploiting postMessage in HTML5: Identification  Evaluation  and Countermeasure,Chong Guan and  Kun Sun and  Zhan Wang and  WenTao Zhu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897901,Chong_Guan_2016.pdf,,
ASIA CCS,2016,Fault Attacks on Efficient Pairing Implementations,Pierre-Alain Fouque and  Chen Qian,https://dl.acm.org/doi/pdf/10.1145/2897845.2897907,Pierre-Alain_Fouque_2016.pdf,,
ASIA CCS,2016,Model-based Security Testing: An Empirical Study on OAuth 2.0 Implementations,Ronghai Yang and  Guanchen Li and  Wing Cheong Lau and  Kehuan Zhang and  Pili Hu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897874,Ronghai_Yang_2016.pdf,,
ASIA CCS,2016,Discovering Malicious Domains through Passive DNS Data Graph Analysis,Issa Khalil and  Ting Yu and  Bei Guan,https://dl.acm.org/doi/pdf/10.1145/2897845.2897877,Issa_Khalil_2016_1.pdf,,
ASIA CCS,2016,Half-Baked Cookies: Hardening Cookie-Based Authentication for the Modern Web,Yogesh Mundada and  Nick Feamster and  Balachander Krishnamurthy,https://dl.acm.org/doi/pdf/10.1145/2897845.2897889,Yogesh_Mundada_2016.pdf,,
ASIA CCS,2016,Attestation Transparency: Building secure Internet services for legacy clients,Jethro G. Beekman and  John L. Manferdelli and  David Wagner,https://dl.acm.org/doi/pdf/10.1145/2897845.2897895,Jethro_Beekman_2016.pdf,,
ASIA CCS,2016,CICADAS: Congesting the Internet with Coordinated and Decentralized Pulsating Attacks,Yu-Ming Ke and  Chih-Wei Chen and  Hsu-Chun Hsiao and  Adrian Perrig and  Vyas Sekar,https://dl.acm.org/doi/pdf/10.1145/2897845.2897866,Yu-Ming_Ke_2016.pdf,,
ASIA CCS,2016,CDRep: Automatic Repair of Cryptographic Misuses in Android Applications,Siqi Ma and  David Lo and  Teng Li and  Robert H. Deng,https://dl.acm.org/doi/pdf/10.1145/2897845.2897896,Siqi_Ma_2016.pdf,,
ASIA CCS,2016,MobiPot: Understanding Mobile Telephony Threats with Honeycards,Marco Balduzzi and  Payas Gupta and  Lion Gu and  Debin Gao and  Mustaque Ahamad,https://dl.acm.org/doi/pdf/10.1145/2897845.2897890,Marco_Balduzzi_2016.pdf,,
ASIA CCS,2016,Checking Intent-based Communication in Android with Intent Space Analysis,Yiming Jing and  Gail-Joon Ahn and  Adam DoupÃ© and  Jeong Hyun Yi,https://dl.acm.org/doi/pdf/10.1145/2897845.2897904,Yiming_Jing_2016.pdf,,
ASIA CCS,2016,revDroid: Code Analysis of the Side Effects after Dynamic Permission Revocation of Android Apps,Zheran Fang and  Weili Han and  Dong Li and  Zeqing Guo and  Danhao Guo and  Xiaoyang Sean Wang and  Zhiyun Qian and  Hao Chen,https://dl.acm.org/doi/pdf/10.1145/2897845.2897914,Zheran_Fang_2016.pdf,,
ASIA CCS,2016,Attacks and Defence on Android Free Floating Windows,Lingyun Ying and  Yao Cheng and  Yemian Lu and  Yacong Gu and  Purui Su and  Dengguo Feng,https://dl.acm.org/doi/pdf/10.1145/2897845.2897897,Lingyun_Ying_2016.pdf,,
ASIA CCS,2016,MAXS: Scaling Malware Execution with Sequential Multi-Hypothesis Testing,Phani Vadrevu and  Roberto Perdisci,https://dl.acm.org/doi/pdf/10.1145/2897845.2897873,Phani_Vadrevu_2016.pdf,,
ASIA CCS,2016,Real-Time Detection of Malware Downloads via Large-Scale URL->File->Machine Graph Mining,Babak Rahbarinia and  Marco Balduzzi and  Roberto Perdisci,https://dl.acm.org/doi/pdf/10.1145/2897845.2897918,Babak_Rahbarinia_2016.pdf,,
ASIA CCS,2016,Smartwatch-Based Keystroke Inference Attacks and Context-Aware Protection Mechanisms,Anindya Maiti and  Oscar Armbruster and  Murtuza Jadliwala and  Jibo He,https://dl.acm.org/doi/pdf/10.1145/2897845.2897905,Anindya_Maiti_2016.pdf,,
ASIA CCS,2016,Leakage Fingerprints: A Non-negligible Vulnerability in Side-Channel Analysis,Zeyi Liu and  Neng Gao and  Chenyang Tu and  Jian Zhou and  Yuan Ma and  Yuan Zhao,https://dl.acm.org/doi/pdf/10.1145/2897845.2897868,Zeyi_Liu_2016.pdf,,
ASIA CCS,2016,Error Tolerance based Single Interesting Point Side Channel CPA Distinguisher,Changhai Ou and  Zhu Wang and  Juan Ai and  Xinping Zhou and  Degang Sun and  Victor DeBrunner,https://dl.acm.org/doi/pdf/10.1145/2897845.2897902,Changhai_Ou_2016.pdf,,
ASIA CCS,2016,Privacy and Utility of Inference Control Mechanisms for Social Computing Applications,Seyed Hossein Ahmadinejad and  Philip W.L. Fong and  Reihaneh Safavi-Naini,https://dl.acm.org/doi/pdf/10.1145/2897845.2897878,SeyedHossein_Ahmadinejad_2016.pdf,,
ASIA CCS,2016,Privacy Preserving Disease Treatment & Complication Prediction System (PDTCPS),Qinghan Xue and  Mooi Choo Chuah and  Yingying Chen,https://dl.acm.org/doi/pdf/10.1145/2897845.2897893,Qinghan_Xue_2016.pdf,,
ASIA CCS,2016,Data Exfiltration in the Face of CSP,Steven Van Acker and  Daniel Hausknecht and  Andrei Sabelfeld,https://dl.acm.org/doi/pdf/10.1145/2897845.2897899,Steven_Van Acker_2016.pdf,,
ASIA CCS,2016,StemJail: Dynamic Role Compartmentalization,MickaÃl SalaÃn and  Marion Daubignard and  HervÃ Debar,https://dl.acm.org/doi/pdf/10.1145/2897845.2897912,Mickaal_salaaan_2016.pdf,,
ASIA CCS,2016,SkypeLine: Robust Hidden Data Transmission for VoIP,Katharina Kohls and  Thorsten Holz and  Dorothea Kolossa and  Christina PÃpper,https://dl.acm.org/doi/pdf/10.1145/2897845.2897913,Katharina_Kohls_2016.pdf,,
ASIA CCS,2016,Generic Construction of Publicly Verifiable Predicate Encryption,Chuting Tan and  Zoe L. Jiang and  Xuan Wang and  S.M. Yiu and  Junbin Fang and  Jin Li and  Yabin Jin and  Jiajun Huang,https://dl.acm.org/doi/pdf/10.1145/2897845.2897919,Chuting_Tan_2016.pdf,,
ASIA CCS,2016,Novel Constructions of Cramer-Shoup Like Cryptosystems Based on Index Exchangeable Family,Jing Li and  Licheng Wang and  Zonghua Zhang and  Xinxin Niu,https://dl.acm.org/doi/pdf/10.1145/2897845.2897920,Jing_Li_2016.pdf,,
ASIA CCS,2016,Efficient Construction of Completely Non-Malleable CCA Secure Public Key Encryption,Shi-Feng Sun and  Dawu Gu and  Joseph K. Liu and  Udaya Parampalli and  Tsz Hon Yuen,https://dl.acm.org/doi/pdf/10.1145/2897845.2897921,Shi-Feng_Sun_2016.pdf,,
ASIA CCS,2016,(Deterministic) Hierarchical Identity-based Encryption from Learning with Rounding over Small Modulus,Fuyang Fang and  Bao Li and  Xianhui Lu and  Yamin Liu and  Dingding Jia and  Haiyang Xue,https://dl.acm.org/doi/pdf/10.1145/2897845.2897922,Fuyang_Fang_2016.pdf,,
ASIA CCS,2016,Generally Hybrid Proxy Re-Encryption: A Secure Data Sharing among Cryptographic Clouds,Peng Xu and  Jun Xu and  Wei Wang and  Hai Jin and  Willy Susilo and  Deqing Zou,https://dl.acm.org/doi/pdf/10.1145/2897845.2897923,Peng_Xu_2016_2.pdf,,
ASIA CCS,2016,RamCrypt: Kernel-based Address Space Encryption for User-mode Processes,Johannes GÃtzfried and  Tilo MÃller and  Gabor Drescher and  Stefan NÃrnberger and  Michael Backes,https://dl.acm.org/doi/pdf/10.1145/2897845.2897924,Johannes_Gartzfried_2016.pdf,,
ASIA CCS,2016,Your Credentials Are Compromised  Do Not Panic: You Can Be Well Protected  Do Not Panic: You Can Be Well Protected,Issa Khalil and  Zuochao Dou and  Abdallah Khreishah,https://dl.acm.org/doi/pdf/10.1145/2897845.2897925,Issa_Khalil_2016_2.pdf,,
ASIA CCS,2016,Inside Attack Filtering for Robust Sensor Localization,Jongho Won and  Elisa Bertino,https://dl.acm.org/doi/pdf/10.1145/2897845.2897926,Jongho_Won_2016.pdf,,
